year,mine.name,mine.state,countystr,mine.basin,mine.status,mine.type,company.type,operation.type,operating.company,operating.company.address,production.stons,average.employees,labor.hours,ARC
2011,Clover Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Processing Inc,"Drawer C, St. Charles, VA 24282","907,921",116,"318,190",1
2011,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Powell Mountain Energy Llc,"Rt. 1 Box 140, St. Charles, VA 24282","244,829",73,"178,036",1
2011,K4 Mine,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Rex Coal Company, Inc.","51 Grays Branch Road, Grays Knob, KY 40829","23,186",9,"27,168",1
2011,Timber Tree #9,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Parton Bros. Contracting, Inc.","P.O. Box 159, Middlesboro, KY 40965","78,411",21,"34,580",1
2011,P1,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 East Highway 72, Pathfork, KY 40863","84,688",40,"67,466",1
2011,Liggett #7,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","100,722",40,"103,880",1
2011,Liggett #3,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Liggett Mining Llc,"9329 West Hwy 72, Harlan, KY 40831","114,226",46,"119,486",1
2011,Infinity #4,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Infinity Energy Incorporated,"P.O. Box 838, Middlesboro, KY 40965","120,341",34,"85,116",1
2011,No 18,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829","21,722",9,"16,745",1
2011,Highsplint,Kentucky (East),Harlan,Appalachia Central,Temporarily closed,Underground,Operating Subsidiary,Mine only,Parton Bros. Contracting Inc.,"P.O. Box 159, Middlesboro, KY 40965","84,664",20,"42,122",1
2010,Highsplint,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Parton Bros. Contracting Inc.,"P.O. Box 159, Middlesboro, KY 40965","150,890",30,"56,018",1
2010,Mine No 2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Neco Energy Inc,"P.O. Box 2561, Middlesboro, KY 40965","94,238",34,"55,831",1
2010,Mine # 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,"Yellow Rose Coal, Llc","P.O. Box J, Cumberland, KY 40823","178,304",25,"39,679",1
2010,Darby Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Proces,"Drawer C, St Charles, VA 24282","689,394",110,"281,843",1
2010,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Manalapan Mining Company Inc,"8174 E Hwy 72, Pathfork, KY 40863",0,40,"64,604",1
2010,Totz Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,22,"59,533",1
2010,Highsplint Preparation Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,23,"67,630",1
2010,Forester Creek Clean Coal Wash,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Fox Knob Coal Co, Inc.","P.O. Box 267, Coldiron, KY 40819",0,2,"6,601",1
2010,No 1 Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Old Virginia Services, L.L.C.","P.O. Box 1675, Ashland, VA 23005",0,10,"23,520",1
2010,K4 Mine,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Rex Coal Company, Inc.","51 Grays Branch Road, Grays Knob, KY 40829","52,836",18,"44,208",1
2010,Huff Creek No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Proces,"Drawer C, St Charles, VA 24282","639,201",117,"296,550",1
2010,No 18,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829","70,989",20,"56,633",1
2010,Mine No.17,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,K And D Mining Inc.,"P.O. Box 2561, Middlesboro, KY 40965","98,128",34,"59,239",1
2010,Days Creek Stockpile,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282",0,3,"7,562",1
2010,D & C Mining  Corporation,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,D & C Mining Corporation,"P.O. Box 148, Fries, VA 24330","96,347",24,"44,139",1
2010,Ky No. 2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Middle Fork Mining Inc.,"P.O. Box 117, Stoney Fork, KY 40988","20,823",31,"62,352",1
2010,Rb #12,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 E Hwy 72, Pathfork, KY 40863","84,285",42,"68,116",1
2010,Mine No 2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Stillhouse Mining, Llc","P.O. Box 527, Benham, KY 40807","752,118",80,"206,092",1
2010,Timber Tree #9,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Parton Bros. Contracting, Inc.","P.O. Box 159, Middlesboro, KY 40965","6,308",6,"8,578",1
2010,P1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 East Highway 72, Pathfork, KY 40863","189,319",77,"126,079",1
2010,C5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Company Inc.,"P.O. Box 269, Grays Knob, KY 40829","65,050",29,"75,587",1
2010,D5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Co. Inc,"P.O. Box 269, Grays Knob, KY 40829","165,141",35,"99,900",1
2010,Cloverlick #2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Jarisa, Inc.","P.O. Box 536, Neon, KY 41840","172,401",40,"85,793",1
2010,Mine No. 3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","151,370",29,"75,726",1
2010,D1 Mine,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 East Highway 72, Pathfork, KY 40863","15,339",23,"12,682",1
2010,Moore Processing,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Coalgood Energy Company,"966 Route 990, Coalgood, KY 40818",0,4,"7,384",1
2010,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Sequoia Energy Llc,"P.O. Box 838, Middlesboro, KY 40965",0,33,"115,759",1
2010,Clover Loadout,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Bledsoe Coal Corporation,"Route 2008 Box 351A, Big Laurel, KY 40808",0,15,"60,353",1
2010,Mine No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Stillhouse Mining Llc,"P.O. Box 527, Benham, KY 40807","530,592",97,"239,767",1
2010,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cave Spur Coal Llc,"P.O. Box 527, Benham, KY 40807","334,797",47,"116,590",1
2010,Mine No. 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Panther Mining Llc,"P.O. Box 527, Benham, KY 40807","473,790",88,"216,025",1
2010,Mine No. 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","517,576",85,"208,276",1
2010,Clover Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Proces,"Drawer C, St. Charles, VA 24282","842,076",114,"301,168",1
2010,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Powell Mountain Energy Llc,"Rt. 1 Box 140, St. Charles, VA 24282","234,019",67,"154,629",1
2010,Liggett #3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","135,080",42,"116,018",1
2010,Infinity #4,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Infinity Energy Incorporated,"P.O. Box 838, Middlesboro, KY 40965","55,172",28,"57,251",1
2010,Liggett #7,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","46,800",23,"50,050",1
2010,Mine #1,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Cawood Enterprises Llc,"P.O. Box 85, Cranks, KY 40820","22,676",15,"11,342",1
2010,Triumph Mine,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Coalgood Energy Company,"966 Rt. 990, Coalgood, KY 40818","68,000",27,"70,918",1
2010,Mine No 1,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,Conshor Mining Llc,"1160 Jackson Dr, Paris, TN 38242","44,409",15,"14,801",1
2010,Liggett #5,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","72,539",29,"38,281",1
2010,No. 1 Wallins,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,K & D Mining,"P.O. Box 2561, Middlesboro, KY 40965","20,744",33,"11,087",1
2009,Highsplint,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Parton Bros. Contracting Inc.,"P.O. Box 159, Middlesboro, KY 40965","118,247",20,"39,223",1
2009,Mine No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Conshor Mining Llc,"2102 Evanor Lane, Cincinnati, OH 45244","132,070",27,"45,468",1
2009,Timber Tree #9,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,"Parton Bros. Contracting, Inc.","P.O. Box 159, Middlesboro, KY 40965","56,270",18,"32,654",1
2009,Liggett #5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","154,621",56,"166,376",1
2009,Mine No 4,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,A & M Coal Co Inc,"P.O. Box 609, Pennington Ga, VA 24277","136,531",36,"88,469",1
2009,Darby Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282","727,457",114,"291,677",1
2009,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Manalapan Mining Company Inc,"8174 E Hwy 72, Pathfork, KY 40863",0,30,"62,357",1
2009,Moore Processing,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Coalgood Energy Company,"966 Route 990, Coalgood, KY 40818",0,4,"8,964",1
2009,Totz Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,20,"54,566",1
2009,Highsplint Preparation Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829",0,26,"78,377",1
2009,Forester Creek Clean Coal Wash,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Fox Knob Coal Co, Inc.","P.O. Box 267, Coldiron, KY 40819",0,3,"8,843",1
2009,No 1 Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Old Virginia Services, L.L.C.","P.O. Box 1675, Ashland, VA 23005",0,10,"23,550",1
2009,K4 Mine,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Rex Coal Company, Inc.","51 Grays Branch Road, Grays Knob, KY 40829","70,538",19,"52,912",1
2009,Huff Creek No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282","476,223",113,"275,411",1
2009,No 18,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Company,"P.O. Box 269, Grays Knob, KY 40829","99,144",20,"56,761",1
2009,Brookside Loadout,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Nally & Hamilton Enterprises,","P.O. Box 157, Bardstown, KY 40004",0,1,"1,705",1
2009,Days Creek Stockpile,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282",0,3,"7,137",1
2009,"D & C Mining  Corp,",Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,D & C Mining Corp,"P.O. Box 148, Fries, VA 24330","164,725",22,"42,027",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Cawood Enterprises Llc,"P.O. Box 85, Cranks, KY 40820","53,106",15,"40,396",1
2009,No. 1 Wallins,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,K & D Mining,"P.O. Box 2561, Middlesboro, KY 40965","147,002",36,"77,361",1
2009,Rb #12,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 E Hwy 72, Pathfork, KY 40863","94,632",32,"62,002",1
2009,Mine #2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Stillhouse Mining, Llc","P.O. Box 527, Benham, KY 40807","632,062",64,"163,943",1
2009,P1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Manalapan Mining Co., Inc.","8174 East Highway 72, Pathfork, KY 40863","190,506",68,"134,199",1
2009,C5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Company Inc.,"P.O. Box 269, Grays Knob, KY 40829","123,852",32,"91,308",1
2009,D5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Rex Coal Co. Inc,"P.O. Box 269, Grays Knob, KY 40829","46,354",19,"50,081",1
2009,Triumph Mine,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Coalgood Energy Company,"966 Rt. 990, Coalgood, KY 40818","59,860",26,"52,675",1
2009,Cloverlick #2,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,"Jarisa, Inc.","P.O. Box 536, Neon, KY 41840","72,870",39,"41,542",1
2009,Mine #3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","15,440",15,"9,247",1
2009,Sequoia Preparation Facility,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Sequoia Energy Llc,"North 19th St. Ext., Middlesboro, KY 40965",0,27,"81,768",1
2009,Clover Loadout,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Bledsoe Coal Corporation,"Route 2008 Box 351A, Big Laurel, KY 40808",0,17,"49,109",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Stillhouse Mining Llc,"P.O. Box 527, Benham, KY 40807","572,505",95,"237,481",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cave Spur Coal Llc,"P.O. Box 527, Benham, KY 40807","344,700",44,"109,263",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Panther Mining Llc,"P.O. Box 527, Benham, KY 40807","519,404",89,"225,720",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Cloverlick Coal Company Llc,"P.O. Box 527, Benham, KY 40807","549,398",88,"215,381",1
2009,Clover Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Lone Mountain Processing Inc,"Drawer C, St. Charles, VA 24282","849,013",121,"297,986",1
2009,Mine #1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Powell Mountain Energy Llc,"Rt. 1 Box 140, St. Charles, VA 24282","203,763",57,"143,682",1
2009,Liggett #3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","142,653",44,"121,298",1
2009,Panther Mine #4a,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Panther Mining, Llc","P.O. Box 527, Benham, KY 40807","122,851",26,"67,798",1
2009,K6,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Llc,"P.O. Box 269, Grays Knob, KY 40829","44,209",18,"42,030",1
2009,Infinity #4,Kentucky (East),Harlan,Appalachia Central,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Infinity Energy Incorporated,"P.O. Box 838, Middlesboro, KY 40965","125,267",32,"71,808",1
2009,No 3,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,A & M Coal Co Inc,"P.O. Box 609, Pennington Ga, VA 24277","19,679",18,"13,188",1
2009,Liggett #6,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","63,330",28,"43,589",1
2009,Rb #10,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Manalapan Mining Company Inc,"8174 East Hwy 72, Pathfrok, KY 40863","10,077",9,"11,048",1
2009,K3,Kentucky (East),Harlan,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Harlan Cumberland Coal Company,"General Delivery, Grays Knob, KY 40829",738,7,"6,525",1
2008,Highsplint,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Parton Bros. Contracting Inc.,"P.O. Box 159, Middlesboro, KY 40965","84,943",22,"36,116",1
2008,Liggett #3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","158,869",51,"142,595",1
2008,No 3,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,A & M Coal Co Inc,"P.O. Box 609, Pennington Ga, VA 24277","31,049",12,"21,941",1
2008,Timber Tree #9,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,"Parton Bros. Contracting, Inc.","P.O. Box 159, Middlesboro, KY 40965","65,297",16,"28,456",1
2008,Liggett #5,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,Liggett Mining Llc,"P.O. Box 838, Middlesboro, KY 40965","337,091",74,"210,156",1
2008,Mine No 4,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Contractor,Mine only,A & M Coal Co Inc,"P.O. Box 609, Pennington Ga, VA 24277","19,158",39,"17,954",1
2008,Darby Fork No 1,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Lone Mountain Processing Inc,"Drawer C, St Charles, VA 24282","776,407",114,"306,452",1
2008,Prep Plant,Kentucky (East),Harlan,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Manalapan Mining Company Inc,"8174 E Hwy 72, Pathfork, KY 40863",0,24,"57,071",1
